城市,调研标签,位置,排名,POI名称,地址,经度,纬度,小组,BDM,BD,商家ID,门店ID,品牌ID,POI ID,商圈类型,经营大类,营业状态,是否认领,是否在售,是否动销,本月GMV,线下GMV,商品数,搜索次数,颜色,高德标记链接,高德搜索链接
北京,扫码/营销调研,南锣鼓巷-雍和宫-隆福寺,1,稻香村·北京特产·老字号糕点,鼓楼东大街144号,116.402164,39.940783,北京六区6,杨卉,张佳音,7603669892792977460,7610732647341377562,-,7360563600153151542,"热点商业区块,热门景点","核心商业区,休闲文旅区",正常营业,1,1,1,44882.84,5602.80,20,3386,blue,https://uri.amap.com/marker?position=116.402164%2C39.940783&name=%E6%89%AB%E7%A0%81%2F%E8%90%A5%E9%94%80%E8%B0%83%E7%A0%94-%E7%A8%BB%E9%A6%99%E6%9D%91%C2%B7%E5%8C%97%E4%BA%AC%E7%89%B9%E4%BA%A7%C2%B7%E8%80%81%E5%AD%97%E5%8F%B7%E7%B3%95%E7%82%B9&src=codex.poi.visit,https://www.amap.com/search?query=%E7%A8%BB%E9%A6%99%E6%9D%91%C2%B7%E5%8C%97%E4%BA%AC%E7%89%B9%E4%BA%A7%C2%B7%E8%80%81%E5%AD%97%E5%8F%B7%E7%B3%95%E7%82%B9
北京,扫码/营销调研,南锣鼓巷-雍和宫-隆福寺,2,廣和川(北京南锣鼓巷店),交道口街道南锣鼓巷15号,116.402702,39.940289,北京六区6,杨卉,张佳音,7599503767201007670,7628816518230460451,7623983079861897250,7578371436360779818,"热点商业区块,热门景点","核心商业区,休闲文旅区",正常营业,1,1,1,15617.40,1353.40,13,2413,blue,https://uri.amap.com/marker?position=116.402702%2C39.940289&name=%E6%89%AB%E7%A0%81%2F%E8%90%A5%E9%94%80%E8%B0%83%E7%A0%94-%E5%BB%A3%E5%92%8C%E5%B7%9D%28%E5%8C%97%E4%BA%AC%E5%8D%97%E9%94%A3%E9%BC%93%E5%B7%B7%E5%BA%97%29&src=codex.poi.visit,https://www.amap.com/search?query=%E5%BB%A3%E5%92%8C%E5%B7%9D%28%E5%8C%97%E4%BA%AC%E5%8D%97%E9%94%A3%E9%BC%93%E5%B7%B7%E5%BA%97%29
北京,扫码/营销调研,南锣鼓巷-雍和宫-隆福寺,3,烘焙町面包店(北新桥总店),东直门内大街277号1幢1层12号,116.416991,39.941673,北京六区6,杨卉,王新建,7585467456216238134,7585470805438433318,-,7495625965549127680,"热点商业区块,热门景点","核心商业区,休闲文旅区",正常营业,1,1,1,10145.40,1480.70,9,2497,blue,https://uri.amap.com/marker?position=116.416991%2C39.941673&name=%E6%89%AB%E7%A0%81%2F%E8%90%A5%E9%94%80%E8%B0%83%E7%A0%94-%E7%83%98%E7%84%99%E7%94%BA%E9%9D%A2%E5%8C%85%E5%BA%97%28%E5%8C%97%E6%96%B0%E6%A1%A5%E6%80%BB%E5%BA%97%29&src=codex.poi.visit,https://www.amap.com/search?query=%E7%83%98%E7%84%99%E7%94%BA%E9%9D%A2%E5%8C%85%E5%BA%97%28%E5%8C%97%E6%96%B0%E6%A1%A5%E6%80%BB%E5%BA%97%29
北京,扫码/营销调研,南锣鼓巷-雍和宫-隆福寺,4,稻香村全聚德,地安门烟袋斜街41号,116.395226,39.93918,北京五区5,张嘉玉,李鹏鹏,7627372319668799542,7627379680395757602,-,7601008045140740136,"热门景点,热点商业区块","休闲文旅区,核心商业区",正常营业,1,1,1,5027.30,1412.60,15,625,blue,https://uri.amap.com/marker?position=116.395226%2C39.939180&name=%E6%89%AB%E7%A0%81%2F%E8%90%A5%E9%94%80%E8%B0%83%E7%A0%94-%E7%A8%BB%E9%A6%99%E6%9D%91%E5%85%A8%E8%81%9A%E5%BE%B7&src=codex.poi.visit,https://www.amap.com/search?query=%E7%A8%BB%E9%A6%99%E6%9D%91%E5%85%A8%E8%81%9A%E5%BE%B7
北京,扫码/营销调研,南锣鼓巷-雍和宫-隆福寺,5,包满意,东四街道东四南大街44号,116.417683,39.923087,北京六区3,吴权,刘蕙冰,7614011558062901311,7614036034510161958,-,7591767530541156358,热点商业区块,核心商业区,正常营业,1,1,1,4580.00,1449.80,9,293,blue,https://uri.amap.com/marker?position=116.417683%2C39.923087&name=%E6%89%AB%E7%A0%81%2F%E8%90%A5%E9%94%80%E8%B0%83%E7%A0%94-%E5%8C%85%E6%BB%A1%E6%84%8F&src=codex.poi.visit,https://www.amap.com/search?query=%E5%8C%85%E6%BB%A1%E6%84%8F
北京,扫码/营销调研,南锣鼓巷-雍和宫-隆福寺,6,Julius Meinl(隆福寺二期店),隆福寺前街1号QA108号,116.413841,39.92482,北京六区3,吴权,李守家,7588061644010342400,7588066136239933494,730237030001,7587663575414474804,热点商业区块,核心商业区,正常营业,1,1,1,3005.80,1940.40,8,191,blue,https://uri.amap.com/marker?position=116.413841%2C39.924820&name=%E6%89%AB%E7%A0%81%2F%E8%90%A5%E9%94%80%E8%B0%83%E7%A0%94-Julius+Meinl%28%E9%9A%86%E7%A6%8F%E5%AF%BA%E4%BA%8C%E6%9C%9F%E5%BA%97%29&src=codex.poi.visit,https://www.amap.com/search?query=Julius+Meinl%28%E9%9A%86%E7%A6%8F%E5%AF%BA%E4%BA%8C%E6%9C%9F%E5%BA%97%29
北京,扫码/营销调研,南锣鼓巷-雍和宫-隆福寺,7,稻香村(安定门店),安德路11号(安定门地铁站A西北口步行440米),116.40618,39.951129,北京六区6,杨卉,李金芮,7603324252918089769,7603329259037280265,-,7602866957418760198,"热点商业区块,热门景点","核心商业区,休闲文旅区",正常营业,1,0,1,1589.60,266.40,0,269,blue,https://uri.amap.com/marker?position=116.406180%2C39.951129&name=%E6%89%AB%E7%A0%81%2F%E8%90%A5%E9%94%80%E8%B0%83%E7%A0%94-%E7%A8%BB%E9%A6%99%E6%9D%91%28%E5%AE%89%E5%AE%9A%E9%97%A8%E5%BA%97%29&src=codex.poi.visit,https://www.amap.com/search?query=%E7%A8%BB%E9%A6%99%E6%9D%91%28%E5%AE%89%E5%AE%9A%E9%97%A8%E5%BA%97%29
北京,扫码/营销调研,南锣鼓巷-雍和宫-隆福寺,8,冯层层·四季风味蛋糕,交道口南大街50号,116.408772,39.938942,北京六区6,杨卉,张佳音,7611394159613577279,7611785018146326528,724792430001,6815907267955722255,"热点商业区块,热门景点","核心商业区,休闲文旅区",正常营业,1,1,1,1075.20,488.60,14,342,blue,https://uri.amap.com/marker?position=116.408772%2C39.938942&name=%E6%89%AB%E7%A0%81%2F%E8%90%A5%E9%94%80%E8%B0%83%E7%A0%94-%E5%86%AF%E5%B1%82%E5%B1%82%C2%B7%E5%9B%9B%E5%AD%A3%E9%A3%8E%E5%91%B3%E8%9B%8B%E7%B3%95&src=codex.poi.visit,https://www.amap.com/search?query=%E5%86%AF%E5%B1%82%E5%B1%82%C2%B7%E5%9B%9B%E5%AD%A3%E9%A3%8E%E5%91%B3%E8%9B%8B%E7%B3%95
北京,新开问题调研,南锣鼓巷-雍和宫-隆福寺,1,沃杯饮品店,景山街道魏家社区老年人协会西10米,116.416074,39.92985,北京六区3,吴权,李守家,-,-,-,7626988660328302644,"热门景点,热点商业区块","休闲文旅区,核心商业区",正常营业,0/空,0,0,0.00,0.00,0,0,orange,https://uri.amap.com/marker?position=116.416074%2C39.929850&name=%E6%96%B0%E5%BC%80%E9%97%AE%E9%A2%98%E8%B0%83%E7%A0%94-%E6%B2%83%E6%9D%AF%E9%A5%AE%E5%93%81%E5%BA%97&src=codex.poi.visit,https://www.amap.com/search?query=%E6%B2%83%E6%9D%AF%E9%A5%AE%E5%93%81%E5%BA%97
北京,新开问题调研,南锣鼓巷-雍和宫-隆福寺,2,御见食养家(北京市东城区人民政府店),清新路口21—23号,116.4163,39.92836,北京六区3,吴权,李守家,-,-,-,7629195750124619814,"热门景点,热点商业区块","休闲文旅区,核心商业区",正常营业,0/空,0,0,0.00,0.00,0,0,orange,https://uri.amap.com/marker?position=116.416300%2C39.928360&name=%E6%96%B0%E5%BC%80%E9%97%AE%E9%A2%98%E8%B0%83%E7%A0%94-%E5%BE%A1%E8%A7%81%E9%A3%9F%E5%85%BB%E5%AE%B6%28%E5%8C%97%E4%BA%AC%E5%B8%82%E4%B8%9C%E5%9F%8E%E5%8C%BA%E4%BA%BA%E6%B0%91%E6%94%BF%E5%BA%9C%E5%BA%97%29&src=codex.poi.visit,https://www.amap.com/search?query=%E5%BE%A1%E8%A7%81%E9%A3%9F%E5%85%BB%E5%AE%B6%28%E5%8C%97%E4%BA%AC%E5%B8%82%E4%B8%9C%E5%9F%8E%E5%8C%BA%E4%BA%BA%E6%B0%91%E6%94%BF%E5%BA%9C%E5%BA%97%29
